ano,titulo_livro,genero_livro,pais_primeira_edicao,nome_autor,nacionaldade_autor,genero_autor,faixa_etaria_autor,nome_pais_autor,nome_editora,sede_editora,site_editora,sigla_pais_iso2,indicador_vencedor,indicador_finalista,indicador_semifinalista
2021,As dançarinas de Leucoteia,Poesia,Brasil,Marra Signoreli,Brasileira,Masculino,de 30 a 40 anos,Brasil,Mondrongo,Brasil,www.editoramondrongo.com.br,BR,Não,Não,Não
2021,As fiandeiras,Poesia,Brasil,Fernanda Rossin,Brasileira,Feminino,de 30 a 40 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,As infinitas vidas de Dylan Reynolds,Romance,Brasil,Sarah Pires Barreirinhas,Brasileira,Feminino,menos de 20 anos,Brasil,Labrador,Brasil,http://www.editoralabrador.com.br/,BR,Não,Não,Não
2021,As letras do teu nome,Poesia,Portugal,Alexandra Santos,Portuguesa,Feminino,de 40 a 50 anos,Portugal,Chiado,Portugal,https://www.facebook.com/alexandrasantospoetisa/,PT,Não,Não,Não
2021,As manhãs fechadas,Poesia,Brasil,Andre Siqueira,Brasileira,Masculino,de 30 a 40 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,As Mãos Ásperas,Conto,Brasil,Marcos Vinicius Ferreira De Oliveira,Brasileira,Masculino,de 50 a 60 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,As meninas de 22 - maiores que o mundo,Conto,Brasil,Viviane Ferreira Santiago,Brasileira,Feminino,de 30 a 40 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,As meninas do coronel,Romance,Brasil,Aramis Ribeiro Costa,Brasileira,Masculino,de 70 a 80 anos,Brasil,Via Litterarum,Brasil,www.viaeditora.com.br,BR,Não,Não,Não
2021,As noites mais escuras do inverno,Romance,Brasil,Bruno Marques,Brasileira,Masculino,de 40 a 50 anos,Brasil,Páginas,Brasil,paginaseditora.com.br,BR,Não,Não,Não
2021,As Panapanás,Conto,Brasil,Mauro Augusto,Brasileira,Masculino,de 40 a 50 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,As paredes eram brancas,Romance,Brasil,Max Moreno,Brasileira,Masculino,de 50 a 60 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,As quatro fases da lua,Conto,Brasil,M. E. Paschoal,Brasileira,Feminino,de 20 a 30 anos,Brasil,Skull,Brasil,https://www.skulleditora.com.br/,BR,Não,Não,Não
2021,As sobras de ontem,Romance,Brasil,Marcelo Vicintin,Brasileira,Masculino,de 30 a 40 anos,Brasil,Companhia das Letras,Brasil,https://www.companhiadasletras.com.br/,BR,Não,Não,Não
2021,As Telefones,Romance,Portugal,Djaimilia Pereira De Almeida,Portuguesa,Feminino,de 30 a 40 anos,Portugal,Relógio D'Água,Portugal,www.relogiodagua.pt,PT,Não,Não,Não
2021,Asa norte,Poesia,Brasil,Rafaela Nogueira Barbosa,Brasileira,Feminino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,"Asas de lata, voos que me teceram",Crônica,Brasil,Karelayne Coelho,Brasileira,Feminino,de 40 a 50 anos,Brasil,Folheando,Brasil,www.editorafolheando.com.br,BR,Não,Não,Não
2021,Assassinato na Rua da Ajuda,Romance,Brasil,Amilton Alves,Brasileira,Masculino,de 50 a 60 anos,Brasil,Luva,Brasil,www.luvaeditora.com.br,BR,Não,Não,Não
2021,Assombro Zen,Poesia,Brasil,Marco Aurelio De Souza,Brasileira,Masculino,de 30 a 40 anos,Brasil,Kotter,Brasil,https://kotter.com.br/,BR,Não,Não,Não
2021,Assombros de esperança,Crônica,Brasil,Kiu Oliveira,Brasileira,Masculino,de 30 a 40 anos,Brasil,Chiado,Portugal,www.chiadobooks.com,PT,Não,Não,Não
2021,"Astúncio, o estúpido esclarecido",Romance,Brasil,Ricardo Lacava,Brasileira,Masculino,de 30 a 40 anos,Brasil,Folheando,Brasil,www.editorafolheando.com.br,BR,Não,Não,Não
2021,Até cansar o cansaço,Poesia,Brasil,Fabio Oliveira,Brasileira,Masculino,de 40 a 50 anos,Brasil,Scortecci,Brasil,https://www.scortecci.com.br/materias.php?cd_secao=199&codant=&friurl=_-Apresentacao-_,BR,Não,Não,Não
2021,Até o próximo tropeço,Crônica,Brasil,Vivian Wrona Vainzof,Brasileira,Feminino,de 40 a 50 anos,Brasil,Labrador,Brasil,http://www.editoralabrador.com.br/,BR,Não,Não,Não
2021,Átimo haikais,Poesia,Brasil,Cassio Amaral,Brasileira,Masculino,de 40 a 50 anos,Brasil,Ler para Escrever,Brasil,www.lerparaescrever.com.br,BR,Não,Não,Não
2021,Atlântica,Dramaturgia,Portugal,Abel Neves,Portuguesa,Masculino,de 60 a 70 anos,Portugal,Húmus,Portugal,www.edicoeshumus.pt (em manutenção e reorganização até 15MAI21),PT,Não,Não,Não
2021,Ato Institucional do Ódio ,Poesia,Brasil,Tico Farpelli,Brasileira,Masculino,de 30 a 40 anos,Brasil,Ramalhete,Brasil,www.ticofarpelli.com.br,BR,Não,Não,Não
2021,Através da Janela: contos e crônicas de horror e angústia,Conto,Brasil,Pietro Silva,Brasileira,Masculino,de 20 a 30 anos,Brasil,Caminhos,Brasil,,BR,Não,Não,Não
2021,Através do rio,Poesia,Brasil,Alexandra Patrocinio,Brasileira,Feminino,de 40 a 50 anos,Brasil,Penalux,Brasil,www.penaluxeditora.com.br,BR,Não,Não,Não
2021,"Au revoir, Copacabana",Romance,Brasil,Marlos Bittencourt,Brasileira,Masculino,de 50 a 60 anos,Brasil,Penalux,Brasil,www.penaluxeditora.com.br,BR,Não,Não,Não
2021,Autônomos,Romance,Brasil,Paulo Carvalho,Brasileira,Masculino,de 20 a 30 anos,Brasil,Flyve,Brasil,https://www.editoraflyve.com/,BR,Não,Não,Não
2021,Avenidas de Dentro,Poesia,Brasil,Nathalia Coelho,Brasileira,Feminino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Avesso da saudade,Poesia,Brasil,Ana Areias,Brasileira,Feminino,de 30 a 40 anos,Brasil,Amelie Editorial,Brasil,https://www.amelieeditorial.com/,BR,Não,Não,Não
2021,Avulsa,Poesia,Brasil,Larissa Campos,Brasileira,Feminino,de 20 a 30 anos,Brasil,Urutau,Brasil,editoraurutau.com.br,BR,Não,Não,Não
2021,Azulejos Pretos,Romance,Portugal,Pedro Bidarra,Portuguesa,Masculino,de 60 a 70 anos,Portugal,Guerra e Paz,Portugal,https://www.guerraepaz.pt,PT,Não,Não,Não
2021,B869.1 k96,Poesia,Brasil,Francis Kurkievicz,Brasileira,Masculino,de 50 a 60 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,Balda,Poesia,Brasil,Renan Reis,Brasileira,Masculino,de 30 a 40 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,Banzo,Poesia,Brasil,Davi Nunes,Brasileira,Masculino,de 30 a 40 anos,Brasil,Organismo,Brasil,http://editorasegundoselo.com.br/loja/mais-vendidos/banzo-de-davi-nunes/,BR,Não,Não,Não
2021,Baobá: a árvore da vida,Romance,Brasil,Pinheiro Rodrigues,Brasileira,Masculino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Barragens e rejeitos,Poesia,Brasil,Valter Braga,Brasileira,,de 50 a 60 anos,Brasil,Quixote+Do,Brasil,https://www.quixote-do.com.br/,BR,Não,Não,Não
2021,Basculante,Poesia,Brasil,Vanessa Caspon,Brasileira,Feminino,de 30 a 40 anos,Brasil,Urutau,Brasil,editoraurutau.com.br,BR,Não,Não,Não
2021,Batendo pasto,Poesia,Brasil,Maria Lucia Alvim,Brasileira,Feminino,,Brasil,Relicário,,,BR,Não,Não,Não
2021,Bebida no Asfalto    ,Romance,Brasil,Louis Riel,Brasileira,Masculino,de 50 a 60 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Becos.100 Saídas,Conto,Brasil,Narrador,Portuguesa,Masculino,de 50 a 60 anos,Brasil,Livro na Mão,Portugal,,PT,Não,Não,Não
